periodo,momento,nrc,programa_codigo,programa_nombre,asignatura
202612,1,12-1125,TLMM,TL COMP MANTENIMIENTO MOTOS,Prácticas
202612,1,12-1126,VTMM,Vicerrectoria Academica,Emprendimiento
202612,1,12-1127,TLSS,TL Comp Segurid Salud Trabajo,Normatividad Ssgt
202612,1,12-1128,TLSS,TL Comp Segurid Salud Trabajo,Gestión del Riesgo de Desastre
202612,1,12-1129,VTMM,Vicerrectoria Academica,Proyecto de Vida
202612,1,12-1130,VTMM,Vicerrectoria Academica,Inglés I
202612,1,12-1131,VTMM,Vicerrectoria Academica,Emprendimiento
202612,1,12-1132,TLSS,TL Comp Segurid Salud Trabajo,Procedimiento Operativo Sst
202612,1,12-1133,TLSS,TL Comp Segurid Salud Trabajo,Etapa Práctica
202612,1,12-1134,VTMM,Vicerrectoria Academica,Inglés II
202612,1,12-1137,FHUM,Iins Virtual y  a Distancia,Cátedra Minuto de Dios
202612,1,12-1138,TLCI,Ins Formacion Trab y Des Human,Introducción confección indust
202612,1,12-1139,TLCI,Ins Formacion Trab y Des Human,Máquina Plana
202612,1,12-1140,TLCI,Ins Formacion Trab y Des Human,Planeación textil
202612,1,12-1141,TLCI,Ins Formacion Trab y Des Human,Comunicación y servicio
202612,1,12-1142,TLCI,Ins Formacion Trab y Des Human,Matemáticas básicas
202612,1,12-1143,FHUM,Iins Virtual y  a Distancia,Cátedra Minuto de Dios
202612,1,12-1144,TLCI,Ins Formacion Trab y Des Human,Introducción confección indust
202612,1,12-1145,TLCI,Ins Formacion Trab y Des Human,Máquina Plana
202612,1,12-1146,TLCI,Ins Formacion Trab y Des Human,Planeación textil
202612,1,12-1148,TLCI,Ins Formacion Trab y Des Human,Matemáticas básicas
202612,1,12-1163,ADMI,Fac Ciencias Emp Adm Empresari,Emprendimiento
202612,1,12-1164,TLCI,Ins Formacion Trab y Des Human,Máquina de Ciclo de Costura
202612,1,12-1165,TLCI,Ins Formacion Trab y Des Human,Máquina Fileteadora
202612,1,12-1166,TLCI,Ins Formacion Trab y Des Human,Máquina de Cadeneta
202612,1,12-1167,FHUM,Direccion de Primer Semestre,Proyecto de Vida
202612,1,12-1168,TLCI,Ins Formacion Trab y Des Human,PRÁCTICA LABORAL
202612,1,12-1258,TLGA,TL COMP GESTION ADMINISTRATIVA,Fundamen de Costos e Inventari
202612,1,12-1259,TLGA,TL COMP GESTION ADMINISTRATIVA,Logística de Eventos
202612,1,12-1260,TLGA,TL COMP GESTION ADMINISTRATIVA,Gestión Documental
202612,1,12-1261,TLGA,TL COMP GESTION ADMINISTRATIVA,Práctica Laboral
202612,1,12-1262,ADMI,Fac Ciencias Emp Adm Empresari,Emprendimiento
202612,1,12-1263,INGL,Centro de Idiomas Rocherau,Inglés II
202612,1,12-1264,TLMM,TL COMP MANTENIMIENTO MOTOS,Mantenimiento Correctivo
202621,1,21-79334,MGIP,MS Gerencia Innovación Proyect,Gestión Conocimiento Tecnologí
202621,1,21-79556,EGPR,ESP EN GERENCIA DE PROYECTOS,Electiva I
202621,1,21-79558,EGPR,ESP EN GERENCIA DE PROYECTOS,Formulación de Proyectos
202621,1,21-79599,MGIP,MS Gerencia Innovación Proyect,Gerencia de Proyectos
202621,1,21-79600,MGIP,MS Gerencia Innovación Proyect,Gerencia Estratégica
202621,1,21-79766,OPGR,Vicerrectoría General Académic,Opción de Grado
202685,1,85-1813,AEM9,Vicerrectoria Regionales,Fundamentación Sg Sst
202685,1,85-1814,AEM9,Vicerrectoria Regionales,Estructuración del Sistema De
202685,1,85-1815,AEM9,Vicerrectoria Regionales,Requisitos del Sistema
202685,1,85-1816,AEM9,Vicerrectoria Regionales,Gestión Integral en Sst
202685,1,85-1821,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 1 Selección y Capatació
202685,1,85-1822,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 2 Elaboración de Manual
202685,1,85-1823,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 3 Sistema de Gestión
202685,1,85-1824,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 4 Cuarta Revolución Ind
202685,1,85-1825,DMW9,Dp en Marketing Digital e IAS,Dp en Marketing Digital e IAS
202685,1,85-1826,DSM9,Vicerrectoria Regionales,Módulo 1 Módulo 2
202685,1,85-1827,DSM9,Vicerrectoria Regionales,Módulo 3 Módulo 4
202685,1,85-1828,DSM9,Vicerrectoria Regionales,Modulo 5 Modulo 6
202685,1,85-1829,DSM9,Vicerrectoria Regionales,Modulo 7
202685,1,85-1830,DTR9,Vicerrectoria Regionales,Módulo 1 Impuestos
202685,1,85-1831,DTR9,Vicerrectoria Regionales,Módulo 2 Impuestos Directos
202685,1,85-1832,DTR9,Vicerrectoria Regionales,Módulo 3 Procedimiento
202685,1,85-1833,DTR9,Vicerrectoria Regionales,Módulo 4 Planeación
202685,1,85-1834,DTR9,Vicerrectoria Regionales,Módulo 1 Impuestos
202685,1,85-1835,DTR9,Vicerrectoria Regionales,Módulo 2 Impuestos Directos
202685,1,85-1836,DTR9,Vicerrectoria Regionales,Módulo 3 Procedimiento
202685,1,85-1837,DTR9,Vicerrectoria Regionales,Módulo 4 Planeación
202685,1,85-1838,PBI9,Dp Op Business Intelligence BI,Dp Op Business Intelligence BI
202685,1,85-1851,ATR9,Dip Op en Actualiz Tributaría,Imp  Val Agr Iva Ret en la Fue
202685,1,85-1852,ATR9,Dip Op en Actualiz Tributaría,Impuesto de Renta
202685,1,85-1853,ATR9,Dip Op en Actualiz Tributaría,Proced Tribu e Inform Electrón
202685,1,85-1854,ATR9,Dip Op en Actualiz Tributaría,Imp  Val Agr Iva Ret en la Fue
202685,1,85-1855,ATR9,Dip Op en Actualiz Tributaría,Impuesto de Renta
202685,1,85-1856,ATR9,Dip Op en Actualiz Tributaría,Proced Tribu e Inform Electrón
202685,1,85-1857,DFA9,Dp Op Familia Infancia Adolesc,Dp Op Familia Infancia Adolesc
202685,1,85-1858,FTA9,Vicerrectoria Regionales,Fundamentos para el Acompañami
