periodo,nrc,momento,programa_codigo,programa_nombre,asignatura,banner_status,moodle_status,template
202615,15-85238,MD2,COPD,CONTADURÍA PÚBLICA DISTANCIA,Contabilidad Gubernamental,,OK,VACIO
202615,15-85245,MD2,COPD,CONTADURÍA PÚBLICA DISTANCIA,Finanzas Públicas,,OK,VACIO
202615,15-85246,MD2,COPD,CONTADURÍA PÚBLICA DISTANCIA,Costos II,,OK,D4
202615,15-85247,MD2,COPD,CONTADURÍA PÚBLICA DISTANCIA,Auditoría y Aseguramiento II,,OK,VACIO
202615,15-85250,MD2,ASST,ADMIN SEGURIDAD SALUD TRABAJO,Sistemas Integrados de Gestión,,OK,VACIO
202615,15-85265,MD1,LEID,LI EN EDUCACION INFANTIL,Fundamentos en Educación y Ped,NO_ENCONTRADO,REVISAR_MANUAL,UNKNOWN
202615,15-85267,MD1,LEID,LI EN EDUCACION INFANTIL,Didáctica General,NO_ENCONTRADO,REVISAR_MANUAL,UNKNOWN
202615,15-85269,MD2,LEID,LI EN EDUCACION INFANTIL,Subjetividades Niñeces e Infan,,REVISAR_MANUAL,UNKNOWN
202615,15-85270,MD2,LEID,LI EN EDUCACION INFANTIL,Didáctica del lenguaje,,OK,VACIO
202615,15-85290,MD2,COPD,CONTADURÍA PÚBLICA DISTANCIA,Contabilidad Financiera V,,OK,VACIO
202615,15-85355,MD2,LLEI,LI LENGUAS EXTRANJERAS INGLES,Portuguese A1 O French A1,,OK,VACIO
202615,15-85357,1,LENG,Dep Comunicacion Escrita proce,Lectura y Escritura en el Cont,SIN_DOCENTE,PENDIENTE,UNKNOWN
202615,15-85360,1,LENG,Dep Comunicacion Escrita proce,Com Escrita y Proce Lect I,SIN_DOCENTE,REVISAR_MANUAL,UNKNOWN
202615,15-85361,1,UVFI,Iins Virtual y  a Distancia,Precálculo,SIN_DOCENTE,PENDIENTE,UNKNOWN
202615,15-85362,1,UVFI,Iins Virtual y  a Distancia,Química,SIN_DOCENTE,REVISAR_MANUAL,UNKNOWN
202615,15-85363,1,UVFI,Iins Virtual y  a Distancia,Geometría,SIN_DOCENTE,REVISAR_MANUAL,UNKNOWN
202615,15-85364,MD1,IINU,Iins Virtual y  a Distancia,Fundamentos de Ingeniería Indu,SIN_DOCENTE,REVISAR_MANUAL,UNKNOWN
202615,15-85714,MD2,ASST,ADMIN SEGURIDAD SALUD TRABAJO,Peligros Físicos,,OK,VACIO
202615,15-85719,1,OPGR,Vicerrectoría General Académic,Opción de Grado,SIN_DOCENTE,OK,VACIO
202610,10-87326,1,TRAU,TC EN REALIZACION AUDIOVISUAL,Realización Argumental,SIN_DOCENTE,OK,VACIO
202610,10-87335,1,ISUM,INGENIERO DE SISTEMAS,Introd a la Ingenie de Sistem,SIN_DOCENTE,OK,VACIO
202610,10-87337,1,ISUM,INGENIERO DE SISTEMAS,Lógica Matemática,SIN_DOCENTE,OK,VACIO
202610,10-87339,1,TRSO,TRABAJO SOCIAL,Historia Socio Política de Col,SIN_DOCENTE,REVISAR_MANUAL,
202610,10-87342,1,ISUM,INGENIERO DE SISTEMAS,Precálculo,SIN_DOCENTE,OK,VACIO
202610,10-87347,1,ISUM,INGENIERO DE SISTEMAS,Programación Básica,SIN_DOCENTE,OK,VACIO
202610,10-87357,1,TRSO,TRABAJO SOCIAL,Ciencia Política,SIN_DOCENTE,OK,VACIO
202610,10-87359,1,TRSO,TRABAJO SOCIAL,Análisis Histórico del Trabajo,SIN_DOCENTE,REVISAR_MANUAL,
202610,10-87372,1,ISUM,INGENIERO DE SISTEMAS,Interconectividad,SIN_DOCENTE,OK,CRIBA
