program_code,program_name,courses,with_teacher,without_teacher,periods,examples
"CSOD","COMUNICACIÓN SOCIAL",2,2,0,"202615","202615:15-79635 | 202615:15-84339"
"EFIA","Vicerrectoría Académica",2,1,1,"202611","202611:11-81344 | 202611:11-81347"
"EGP1","ESP EN GERENCIA DE PROYECTOS",2,1,1,"202641","202641:41-70080 | 202641:41-70081"
"ETIC","Unidad de Etica",2,0,2,"202615","202615:15-73127 | 202615:15-84335"
"FHUM","Iins Virtual y  a Distancia",2,0,2,"202612","202612:12-1137 | 202612:12-1143"
"INGL","Centro de Idiomas Rocherau",2,0,2,"202612","202612:12-1117 | 202612:12-1263"
"LEFD","Facultad de Educación",2,2,0,"202615","202615:15-85888 | 202615:15-85889"
"LEID","Facultad de Educación",2,2,0,"202615","202615:15-85286 | 202615:15-85510"
"MATE","Vicerrectoria Academica",2,1,1,"202615","202615:15-73706 | 202615:15-84595"
"MATE","Fac Ciencias Emp Adm Empresari",2,2,0,"202615","202615:15-79823 | 202615:15-79824"
"OPGR","Vicerrectoría General Académic",2,0,2,"202615|202621","202615:15-85719 | 202621:21-79766"
"CONP","CONTADURÍA PÚBLICA",1,1,0,"202615","202615:15-84481"
"DFA9","Dp Op Familia Infancia Adolesc",1,0,1,"202685","202685:85-1857"
"DMW9","Dp en Marketing Digital e IAS",1,0,1,"202685","202685:85-1825"
"EAIR","Esp Auditoría Integral y Revis",1,0,1,"202611","202611:11-81017"
"EFIA","ESP FAMILIA INFANCIA ADOLESCEN",1,0,1,"202611","202611:11-81345"
"EFIA","Vicerrectoria Academica",1,1,0,"202611","202611:11-81346"
"EGFI","UNIMINUTO Virtual y Distancia",1,1,0,"202621","202621:21-70263"
"EGRL","UNIMINUTO Virtual y Distancia",1,1,0,"202621","202621:21-79312"
"ESTA","Ciencias Basicas",1,1,0,"202610","202610:10-81255"
"ETDH","Proy Formación Para el Empleo",1,0,1,"202612","202612:12-1112"
"IINU","Iins Virtual y  a Distancia",1,0,1,"202615","202615:15-85364"
"LEID","ADMINISTRACIÓN DE EMPRESAS",1,1,0,"202615","202615:15-85287"
"LLEI","LI LENGUAS EXTRANJERAS INGLES",1,0,1,"202615","202615:15-85355"
"MATE","Vicerrectoría General Académic",1,1,0,"202615","202615:15-73537"
"MATE","Ciencias Basicas",1,1,0,"202615","202615:15-85857"
"PBI9","Dp Op Business Intelligence BI",1,0,1,"202685","202685:85-1838"
"PRAC","Centro de Edu para el Desarrol",1,1,0,"202615","202615:15-84274"
"TRAU","TC EN REALIZACION AUDIOVISUAL",1,0,1,"202610","202610:10-87326"
